,light,fear,Date(Local),Time(sec),Time,Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Speed(m/s)
0,1.55,0,2019-12-29 21:10:37.00,0.0,21:10:37.00,20.765446,-103.367154,6.000906205260657,1625.42683721424,0.6729761958122253
1,1.55,0,2019-12-29 21:10:38.00,0.2483422756195068,21:10:38.00,20.765441,-103.36715699999999,6.000906205260657,1625.331483388782,0.7151293158531189
2,1.55,0,2019-12-29 21:10:44.00,6.2483463287353525,21:10:44.00,20.765397,-103.367138,6.000906205260657,1625.2127383566642,0.1244811341166496
3,1.55,0,2019-12-29 21:11:12.00,34.24834990501404,21:11:12.00,20.765401999999998,-103.3671,6.000906205260657,1625.480664771738,0.05111255124211311
4,1.55,0,2019-12-29 21:12:22.00,34.17966425418854,21:12:22.00,20.765382000000002,-103.367064,16.00241654736175,1625.5840564707933,0.04253123328089714
5,1.66,0,2019-12-29 21:12:23.00,35.179663896560676,21:12:23.00,20.765381,-103.367074,16.00241654736175,1625.539466056625,0.0639829933643341
6,1.66,0,2019-12-29 21:12:43.00,55.179659843444824,21:12:43.00,20.765313,-103.36705,16.00241654736175,1625.293690992092,0.5663747787475586
7,1.66,0,2019-12-29 21:12:55.00,67.17964005470276,21:12:55.00,20.765269,-103.36702199999999,16.00241654736175,1624.830975053548,0.4404313564300537
8,1.66,0,2019-12-29 21:12:57.00,69.17963421344757,21:12:57.00,20.765256,-103.367012,16.00241654736175,1624.82485657213,0.7495493888854979
9,1.66,0,2019-12-29 21:13:17.00,69.2019100189209,21:13:17.00,20.765145999999998,-103.366843,16.00241654736175,1625.807619301423,1.229426026344299
10,1.66,0,2019-12-29 21:13:18.00,70.20190834999084,21:13:18.00,20.765142,-103.366848,16.00241654736175,1626.011163160001,1.032719969749451
11,1.66,0,2019-12-29 21:13:27.00,79.20190227031708,21:13:27.00,20.765104,-103.366815,16.00241654736175,1626.324711652142,0.6977578401565552
12,1.66,0,2019-12-29 21:13:34.00,86.20189833641052,21:13:34.00,20.765059,-103.366809,6.000906205260657,1626.482731551408,0.9538747072219848
13,1.66,0,2019-12-29 21:13:46.00,98.20189464092256,21:13:46.00,20.765013,-103.366794,6.000906205260657,1626.4651849282761,0.1609299778938293
14,1.48,0,2019-12-29 21:13:52.00,104.20189321041109,21:13:52.00,20.764995000000003,-103.366772,6.000906205260657,1626.85929689625,0.018559964373707768
15,1.48,0,2019-12-29 21:14:47.00,104.1664532423019,21:14:47.00,20.764749,-103.36657199999999,4.000604136840439,1629.0655100600932,0.841347873210907
16,1.48,0,2019-12-29 21:14:48.00,105.1664534807205,21:14:48.00,20.764741,-103.366569,4.000604136840439,1629.1424209858678,1.000538349151611
17,1.48,0,2019-12-29 21:14:52.00,109.1664530038834,21:14:52.00,20.764698000000003,-103.366553,6.000906205260657,1629.4051262511468,1.071315288543701
18,1.61,0,2019-12-29 21:14:57.00,114.16645216941829,21:14:57.00,20.764662,-103.36652099999999,6.000906205260657,1629.772835787446,1.0492533445358279
19,1.61,0,2019-12-29 21:15:02.00,119.16645038127899,21:15:02.00,20.764634,-103.366473,6.000906205260657,1630.358434066592,1.143309354782104
20,1.61,0,2019-12-29 21:15:06.00,123.1664491891861,21:15:06.00,20.764598,-103.366443,6.000906205260657,1630.6979360238417,1.1503075361251829
21,1.61,0,2019-12-29 21:15:11.00,128.16645991802218,21:15:11.00,20.764571,-103.366401,6.000906205260657,1631.23264082736,1.064417839050293
22,1.61,0,2019-12-29 21:15:17.00,134.1664845943451,21:15:17.00,20.764537,-103.36636999999999,6.000906205260657,1631.433309799692,0.8395009636878967
23,1.61,0,2019-12-29 21:15:22.00,139.1664984226227,21:15:22.00,20.764508,-103.36634699999999,6.000906205260657,1631.433315277045,1.3918455839157098
24,1.61,0,2019-12-29 21:15:27.00,139.1505814790726,21:15:27.00,20.764479,-103.366311,6.000906205260657,1631.4333152770998,0.4399773478507996
25,1.61,0,2019-12-29 21:15:28.00,140.15058219432828,21:15:28.00,20.764474,-103.36630600000001,6.000906205260657,1631.4333152770998,0.636529266834259
26,1.61,0,2019-12-29 21:15:38.00,150.1505867242813,21:15:38.00,20.764457,-103.366251,6.000906205260657,1631.4333152770998,1.427991986274719
27,1.61,0,2019-12-29 21:15:43.00,155.1505934000015,21:15:43.00,20.764411,-103.366235,6.000906205260657,1631.4333152770998,1.171254634857178
28,1.61,0,2019-12-29 21:15:47.00,159.15059649944308,21:15:47.00,20.76437,-103.36621,6.000906205260657,1631.4333152770998,1.506852865219116
29,1.04,0,2019-12-29 21:15:52.00,164.1505995988846,21:15:52.00,20.764344,-103.36617,6.000906205260657,1631.4333152770998,1.275758147239685
30,1.04,0,2019-12-29 21:16:02.00,174.1490737199783,21:16:02.00,20.764307000000002,-103.36614,6.000906205260657,1631.4333152770998,0.9310773015022278
31,1.04,0,2019-12-29 21:16:02.00,174.1506028175354,21:16:02.00,20.764307000000002,-103.36614,6.000906205260657,1631.4333152770998,0.9310773015022278
32,1.04,0,2019-12-29 21:16:03.00,175.1490743160248,21:16:03.00,20.764307000000002,-103.366132,6.000906205260657,1631.4333152770998,0.9534831643104552
33,1.04,0,2019-12-29 21:16:09.00,181.14907503128052,21:16:09.00,20.764264999999998,-103.366098,6.000906205260657,1631.482215423584,1.175451874732971
34,1.04,0,2019-12-29 21:16:16.00,188.1490749120712,21:16:16.00,20.764217000000002,-103.366077,6.000906205260657,1631.7365387445261,0.954311192035675
35,1.04,0,2019-12-29 21:16:22.00,194.14907467365262,21:16:22.00,20.764175,-103.366052,6.000906205260657,1632.043162584107,0.9037851095199584
36,1.04,0,2019-12-29 21:16:26.00,198.1490743160248,21:16:26.00,20.764135999999997,-103.366015,6.000906205260657,1632.502824113393,0.7576916217803955
37,1.04,0,2019-12-29 21:16:35.00,207.14948916435242,21:16:35.00,20.764101,-103.36596800000001,6.000906205260657,1633.034094100982,0.6273923516273499
38,1.04,0,2019-12-29 21:16:37.00,209.14946258068082,21:16:37.00,20.764088,-103.365962,6.000906205260657,1633.1529949403382,0.7665073275566101
39,1.04,0,2019-12-29 21:17:07.00,209.0970596075058,21:17:07.00,20.763975,-103.36587,6.000906205260657,1634.198578875933,1.0300623178482058
40,0.95,0,2019-12-29 21:17:08.00,210.0970531702042,21:17:08.00,20.763972,-103.365858,6.000906205260657,1634.289761070577,0.7825090289115906
41,0.95,0,2019-12-29 21:17:14.00,216.0970219373703,21:17:14.00,20.763948000000003,-103.36581,6.000906205260657,1634.737363692505,0.9237219095230104
42,0.95,0,2019-12-29 21:17:24.00,226.0969858169556,21:17:24.00,20.76396,-103.36576,8.001208273680877,1634.737636566162,0.1714037954807281
43,0.95,0,2019-12-29 21:17:39.00,241.0969727039337,21:17:39.00,20.763942,-103.36570999999999,6.000906205260657,1634.737636566162,0.9765004515647888
44,0.95,0,2019-12-29 21:17:42.00,244.0969772338867,21:17:42.00,20.763937,-103.365723,6.000906205260657,1634.737636566162,0.3262237310409546
45,0.95,0,2019-12-29 21:19:37.00,244.1221984624863,21:19:37.00,20.764007,-103.36549000000001,6.000906205260657,1635.464473944824,0.8353554010391235
46,1.02,0,2019-12-29 21:19:38.00,245.12219786643982,21:19:38.00,20.764008999999998,-103.365484,6.000906205260657,1635.515862296216,0.9248230457305908
47,1.02,0,2019-12-29 21:19:42.00,249.12219333648682,21:19:42.00,20.764006,-103.36543,6.000906205260657,1636.051110250552,0.8114398717880249
48,1.02,0,2019-12-29 21:19:48.00,255.12218761444092,21:19:48.00,20.764004999999997,-103.365367,6.000906205260657,1636.7843695793429,1.00448203086853
49,1.02,0,2019-12-29 21:19:54.00,261.1221808195114,21:19:54.00,20.764004,-103.365309,6.000906205260657,1637.483421075664,0.7955514788627625
50,1.02,0,2019-12-29 21:19:59.00,266.12217545509344,21:19:59.00,20.763986,-103.36525300000001,6.000906205260657,1638.030151448324,0.8039548993110657
51,1.02,0,2019-12-29 21:20:04.00,271.1221703290939,21:20:04.00,20.763986,-103.365204,6.000906205260657,1638.0418356680689,0.7155723571777344
52,1.07,0,2019-12-29 21:20:09.00,276.1221593618393,21:20:09.00,20.764017000000003,-103.365162,6.000906205260657,1638.041835784911,0.6873552799224854
53,1.07,0,2019-12-29 21:20:12.00,279.1221504211426,21:20:12.00,20.764021,-103.36514100000001,6.000906205260657,1638.041835784912,0.3673779666423798
54,1.07,0,2019-12-29 21:20:27.00,279.0981973409653,21:20:27.00,20.764073,-103.365003,8.001208273680877,1638.041835784912,0.6057975888252258
55,1.07,0,2019-12-29 21:20:28.00,280.0981924533844,21:20:28.00,20.764076,-103.364995,8.001208273680877,1638.041835784912,0.4700613021850586
56,1.07,0,2019-12-29 21:20:33.00,285.0981746912003,21:20:33.00,20.764098,-103.364948,6.000906205260657,1638.549774581299,0.5328853130340576
57,1.07,0,2019-12-29 21:20:39.00,291.0981575250626,21:20:39.00,20.764105999999998,-103.364892,6.000906205260657,1639.188958761967,0.8516448140144348
